item_uid,category,recent,k,key,model,temp,n_trials,nci,entropy_bits,accuracy,modal_answer,modal_correct
115_2026-AM-31,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,1.0,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,gpt-4o,0.0,30,0.5016,0.9968,0.0,B,0
115_2026-AM-31,EthicalLegal,Y,4,D,gpt-4o,0.5,30,0.526,0.9481,0.0,B,0
115_2026-AM-31,EthicalLegal,Y,4,D,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,1.5,30,0.7655,0.469,0.9,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,1.0,30,0.8946,0.2108,0.9667,D,1
115_2026-AM-31,EthicalLegal,Y,4,D,gpt-4o,1.5,30,0.3584,1.2833,0.0667,A,0
115_2026-AM-31,EthicalLegal,Y,4,D,gpt-4o,1.0,30,0.5064,0.9871,0.0,A,0
115_2026-AM-48,EthicalLegal,Y,4,B,gpt-4o,1.0,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gpt-4o,0.5,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gpt-4o,0.0,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gpt-4o,1.5,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,1.0,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,1.5,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gpt-4o,0.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gpt-4o,1.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gpt-4o,0.5,30,1.0,-0.0,1.0,B,1
115_2026-AM-48,EthicalLegal,Y,4,B,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gpt-4o,1.5,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.5,30,0.7167,0.5665,0.8667,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,B,1
115_2026-PM-72,EthicalLegal,Y,4,A,gpt-4o,0.0,30,1.0,-0.0,1.0,A,1
115_2026-PM-45,EthicalLegal,Y,4,B,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,1.0,30,0.7196,0.5608,0.9,B,1
115_2026-PM-45,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,1.5,30,0.3309,1.3383,0.6,B,1
115_2026-PM-72,EthicalLegal,Y,4,A,gpt-4o,0.5,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,gpt-4o,1.5,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,gpt-4o,1.0,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,gemini-2.5-flash-lite,1.0,30,1.0,-0.0,1.0,A,1
115_2026-PM-72,EthicalLegal,Y,4,A,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,A,1
114_2025-AM-61,EthicalLegal,Y,4,D,gpt-4o,0.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,gpt-4o,0.5,30,1.0,-0.0,1.0,D,1
115_2026-PM-72,EthicalLegal,Y,4,A,gemini-2.5-flash-lite,1.5,30,1.0,-0.0,1.0,A,1
114_2025-AM-61,EthicalLegal,Y,4,D,gpt-4o,1.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,gpt-4o,1.5,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-73,EthicalLegal,Y,4,C,gpt-4o,0.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-61,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,1.5,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,1.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,D,1
114_2025-AM-61,EthicalLegal,Y,4,D,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,D,1
114_2025-AM-73,EthicalLegal,Y,4,C,gpt-4o,0.5,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gpt-4o,1.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gpt-4o,1.5,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,1.0,C,1
114_2025-AM-75,EthicalLegal,Y,4,B,gpt-4o,0.0,30,1.0,-0.0,0.0,D,0
114_2025-AM-73,EthicalLegal,Y,4,C,claude-opus-4.5,0.5,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gemini-2.5-flash-lite,1.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,gemini-2.5-flash-lite,1.5,30,1.0,-0.0,1.0,C,1
114_2025-AM-75,EthicalLegal,Y,4,B,gpt-4o,1.0,30,0.5409,0.9183,0.3333,D,0
114_2025-AM-75,EthicalLegal,Y,4,B,gpt-4o,1.5,30,0.5145,0.971,0.4,D,0
114_2025-AM-75,EthicalLegal,Y,4,B,gpt-4o,0.5,30,0.8233,0.3534,0.0667,D,0
114_2025-AM-73,EthicalLegal,Y,4,C,claude-opus-4.5,0.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-73,EthicalLegal,Y,4,C,claude-opus-4.5,1.0,30,1.0,-0.0,1.0,C,1
114_2025-AM-75,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.0,30,1.0,-0.0,0.0,D,0
114_2025-AM-75,EthicalLegal,Y,4,B,gemini-2.5-flash-lite,0.5,30,1.0,-0.0,0.0,D,0
